Id,Prediction
1,8
2,9
3,3
4,1
5,4
6,5
7,9
8,0
9,3
10,3
11,5
12,3
13,7
14,6
15,7
16,5
17,8
18,8
19,5
20,3
21,8
22,9
23,8
24,5
25,7
26,2
27,0
28,9
29,8
30,4
31,4
32,6
33,6
34,6
35,0
36,3
37,9
38,6
39,8
40,9
41,8
42,1
43,8
44,3
45,5
46,9
47,3
48,3
49,2
50,7
51,8
52,5
53,1
54,3
55,9
56,8
57,2
58,0
59,8
60,7
61,9
62,8
63,8
64,1
65,5
66,6
67,5
68,9
69,4
70,9
71,6
72,5
73,0
74,0
75,2
76,7
77,4
78,8
79,3
80,1
81,4
82,5
83,2
84,2
85,2
86,1
87,2
88,4
89,8
90,1
91,4
92,6
93,9
94,2
95,2
96,7
97,6
98,0
99,8
100,5
101,7
102,3
103,8
104,5
105,1
106,9
107,3
108,2
109,3
110,1
111,7
112,2
113,3
114,7
115,9
116,7
117,8
118,9
119,6
120,5
121,6
122,9
123,8
124,0
125,9
126,0
127,8
128,4
129,5
130,2
131,4
132,3
133,4
134,0
135,1
136,5
137,5
138,8
139,0
140,2
141,1
142,4
143,7
144,0
145,9
146,6
147,3
148,9
149,3
150,8
151,0
152,6
153,8
154,8
155,0
156,8
157,6
158,4
159,5
160,3
161,7
162,9
163,4
164,5
165,0
166,0
167,4
168,3
169,4
170,1
171,7
172,5
173,9
174,1
175,9
176,0
177,6
178,6
179,3
180,7
181,7
182,7
183,7
184,9
185,2
186,5
187,4
188,2
189,0
190,1
191,2
192,0
193,3
194,4
195,2
196,1
197,2
198,9
199,8
200,8
201,0
202,2
203,1
204,8
205,4
206,2
207,2
208,4
209,6
210,8
211,9
212,1
213,7
214,3
215,9
216,7
217,3
218,7
219,1
220,5
221,3
222,0
223,5
224,5
225,2
226,8
227,4
228,4
229,1
230,3
231,3
232,8
233,9
234,8
235,1
236,4
237,8
238,6
239,5
240,6
241,9
242,5
243,0
244,7
245,6
246,5
247,1
248,6
249,6
250,3
251,0
252,4
253,6
254,1
255,6
256,8
257,2
258,2
259,1
260,8
261,6
262,8
263,7
264,4
265,2
266,2
267,1
268,4
269,3
270,4
271,3
272,7
273,5
274,4
275,4
276,1
277,0
278,5
279,5
280,0
281,1
282,6
283,8
284,2
285,0
286,3
287,9
288,6
289,3
290,8
291,3
292,1
293,9
294,1
295,9
296,1
297,8
298,1
299,7
300,8
301,1
302,2
303,5
304,6
305,8
306,5
307,9
308,4
309,8
310,9
311,6
312,2
313,3
314,5
315,8
316,6
317,7
318,0
319,6
320,5
321,4
322,5
323,3
324,5
325,4
326,4
327,0
328,8
329,4
330,5
331,6
332,4
333,5
334,9
335,4
336,2
337,9
338,9
339,7
340,9
341,2
342,3
343,7
344,0
345,1
346,2
347,6
348,1
349,7
350,3
351,4
352,9
353,4
354,6
355,1
356,8
357,3
358,0
359,0
360,3
361,8
362,6
363,9
364,5
365,9
366,5
367,7
368,1
369,8
370,5
371,2
372,0
373,6
374,8
375,8
376,7
377,1
378,0
379,7
380,7
381,1
382,2
383,7
384,8
385,2
386,4
387,6
388,4
389,0
390,1
391,5
392,7
393,6
394,0
395,2
396,5
397,2
398,6
399,5
400,5
401,0
402,9
403,7
404,4
405,9
406,7
407,9
408,5
409,5
410,4
411,0
412,5
413,9
414,4
415,1
416,9
417,1
418,3
419,2
420,9
421,5
422,2
423,7
424,1
425,3
426,9
427,8
428,8
429,9
430,6
431,5
432,1
433,1
434,3
435,4
436,3
437,9
438,0
439,8
440,5
441,3
442,0
443,1
444,3
445,5
446,4
447,5
448,3
449,9
450,1
451,9
452,4
453,8
454,3
455,9
456,1
457,8
458,7
459,1
460,0
461,2
462,4
463,3
464,6
465,2
466,5
467,5
468,9
469,6
470,3
471,7
472,0
473,9
474,0
475,0
476,8
477,7
478,0
479,2
480,5
481,8
482,1
483,1
484,6
485,0
486,6
487,8
488,2
489,2
490,1
491,1
492,2
493,8
494,2
495,7
496,1
497,6
498,8
499,9
500,8
501,6
502,1
503,9
504,8
505,7
506,1
507,4
508,1
509,4
510,6
511,8
512,4
513,0
514,1
515,1
516,1
517,0
518,9
519,0
520,0
521,9
522,2
523,6
524,9
525,0
526,2
527,7
528,2
529,4
530,9
531,4
532,1
533,1
534,2
535,5
536,5
537,1
538,3
539,1
540,3
541,6
542,8
543,8
544,1
545,7
546,3
547,6
548,0
549,4
550,0
551,9
552,9
553,1
554,7
555,1
556,8
557,4
558,2
559,8
560,6
561,6
562,9
563,7
564,4
565,4
566,9
567,4
568,8
569,8
570,7
571,3
572,3
573,7
574,9
575,9
576,2
577,5
578,0
579,7
580,1
581,4
582,1
583,8
584,6
585,5
586,7
587,0
588,3
589,1
590,0
591,5
592,5
593,1
594,5
595,8
596,6
597,6
598,0
599,1
600,4
601,5
602,7
603,2
604,2
605,2
606,6
607,2
608,8
609,1
610,3
611,0
612,5
613,4
614,4
615,6
616,4
617,1
618,3
619,8
620,2
621,1
622,6
623,8
624,1
625,5
626,9
627,3
628,2
629,7
630,1
631,0
632,3
633,9
634,3
635,9
636,5
637,1
638,0
639,7
640,9
641,4
642,4
643,9
644,0
645,1
646,9
647,8
648,4
649,3
650,8
651,7
652,4
653,6
654,0
655,9
656,8
657,6
658,1
659,5
660,5
661,9
662,0
663,6
664,6
665,8
666,2
667,8
668,3
669,3
670,1
671,1
672,1
673,2
674,9
675,7
676,4
677,9
678,4
679,0
680,1
681,0
682,4
683,4
684,2
685,2
686,2
687,5
688,7
689,2
690,0
691,3
692,7
693,2
694,7
695,1
696,5
697,5
698,3
699,5
700,6
701,8
702,6
703,5
704,5
705,0
706,1
707,1
708,2
709,5
710,3
711,3
712,5
713,7
714,9
715,2
716,4
717,3
718,6
719,5
720,0
721,8
722,0
723,4
724,5
725,2
726,1
727,8
728,1
729,3
730,4
731,3
732,9
733,9
734,4
735,7
736,2
737,8
738,0
739,8
740,7
741,8
742,9
743,0
744,1
745,8
746,7
747,7
748,8
749,1
750,4
751,7
752,3
753,9
754,2
755,9
756,0
757,9
758,2
759,6
760,0
761,8
762,6
763,9
764,8
765,7
766,6
767,1
768,9
769,0
770,3
771,1
772,1
773,3
774,9
775,4
776,6
777,3
778,0
779,2
780,3
781,5
782,4
783,9
784,0
785,9
786,9
787,6
788,6
789,7
790,7
791,4
792,5
793,7
794,1
795,0
796,3
797,0
798,4
799,6
800,0
801,6
802,9
803,4
804,5
805,1
806,7
807,1
808,2
809,8
810,7
811,6
812,7
813,7
814,9
815,0
816,8
817,1
818,8
819,7
820,1
821,8
822,6
823,3
824,8
825,0
826,1
827,4
828,7
829,0
830,1
831,4
832,7
833,0
834,5
835,8
836,6
837,7
838,7
839,9
840,3
841,3
842,7
843,1
844,7
845,0
846,5
847,2
848,0
849,0
850,7
851,7
852,3
853,0
854,4
855,9
856,3
857,6
858,7
859,4
860,3
861,1
862,5
863,7
864,1
865,3
866,0
867,4
868,7
869,2
870,1
871,2
872,1
873,5
874,1
875,0
876,7
877,0
878,6
879,5
880,7
881,3
882,2
883,8
884,7
885,3
886,3
887,5
888,4
889,8
890,9
891,7
892,2
893,1
894,8
895,7
896,4
897,0
898,3
899,2
900,9
901,2
902,7
903,0
904,0
905,4
906,6
907,9
908,3
909,0
910,2
911,1
912,1
913,8
914,0
915,3
916,3
917,8
918,6
919,0
920,8
921,5
922,1
923,3
924,3
925,8
926,7
927,0
928,3
929,0
930,7
931,1
932,9
933,3
934,2
935,4
936,1
937,6
938,0
939,2
940,9
941,4
942,8
943,0
944,3
945,0
946,1
947,1
948,9
949,3
950,5
951,8
952,2
953,5
954,3
955,8
956,3
957,9
958,0
959,9
960,9
961,3
962,2
963,6
964,3
965,4
966,1
967,7
968,0
969,1
970,1
971,4
972,0
973,7
974,7
975,0
976,3
977,3
978,6
979,4
980,7
981,7
982,6
983,4
984,1
985,4
986,2
987,8
988,6
989,7
990,4
991,6
992,6
993,5
994,4
995,5
996,7
997,8
998,6
999,5
1000,6
1001,1
1002,2
1003,1
1004,1
1005,1
1006,7
1007,6
1008,2
1009,9
1010,4
1011,7
1012,6
1013,3
1014,3
1015,0
1016,7
1017,6
1018,3
1019,1
1020,3
1021,8
1022,9
1023,0
1024,1
1025,1
1026,7
1027,8
1028,2
1029,1
1030,1
1031,4
1032,8
1033,1
1034,7
1035,7
1036,5
1037,5
1038,5
1039,4
1040,7
1041,6
1042,6
1043,7
1044,9
1045,9
1046,4
1047,7
1048,4
1049,7
1050,5
1051,7
1052,8
1053,9
1054,1
1055,8
1056,8
1057,6
1058,5
1059,7
1060,1
1061,2
1062,6
1063,2
1064,5
1065,2
1066,3
1067,7
1068,1
1069,4
1070,8
1071,6
1072,8
1073,8
1074,3
1075,8
1076,5
1077,4
1078,7
1079,3
1080,3
1081,6
1082,3
1083,3
1084,6
1085,4
1086,0
1087,7
1088,4
1089,2
1090,0
1091,0
1092,2
1093,2
1094,4
1095,8
1096,0
1097,7
1098,0
1099,3
1100,5
1101,5
1102,7
1103,7
1104,7
1105,8
1106,0
1107,2
1108,4
1109,1
1110,3
1111,4
1112,1
